"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.561765833E-1,-1.163631529E-1,-9.415485710E-2,-6.888774037E-2
2.511635833E-1,5.322556943E-2,-4.954680055E-2,-1.315373648E-2
3.461515833E-1,2.755591273E-2,-2.297038957E-2,-3.592775762E-2
4.411065833E-1,7.469162345E-2,4.998074472E-2,2.526215045E-3
5.311265833E-1,7.024278641E-1,-4.808846712E-1,-2.526514828E-1
6.261135833E-1,2.326743752E-1,-3.258788884E-1,-5.005273819E-1
7.211025833E-1,3.920651972E-1,-2.001893222E-1,-6.870296597E-1
8.160875833E-1,-7.983959913E-1,-1.532734156E0,-6.597758532E-1
9.110765833E-1,-3.112832606E-1,-1.186770082E0,-5.149317384E-1
1.006064583E0,6.700561643E-1,-5.229257941E-1,-3.177491724E-1
1.101047583E0,7.456288934E-1,2.339367121E-1,-2.785790861E-1
1.196015583E0,4.574242830E-1,3.259078264E-1,-3.762940168E-1
1.286027583E0,2.548104525E-1,3.476353735E-2,-1.895599067E-1
1.381015583E0,-6.235132813E-1,-2.417472601E-1,5.582053214E-2
1.475983583E0,-4.767790437E-2,2.033045888E-1,8.817398548E-2
1.565990583E0,-3.615728617E-1,-3.957150131E-2,2.098036557E-1
1.660978583E0,2.977808118E-1,1.772860438E-2,3.249351308E-2
1.755967583E0,-2.459195442E-2,7.356017362E-3,-8.547534049E-2
1.850926583E0,-3.265746534E-1,1.442151070E-1,-8.998751640E-3
1.940940583E0,1.105442569E-1,-4.800016433E-2,4.806156829E-2
2.035930583E0,1.648930758E-1,-1.564448513E-2,-1.240326762E-1
2.130917583E0,-1.797978282E-1,-1.540607959E-1,-2.236946113E-2
2.225896583E0,4.024558887E-2,3.062274866E-2,7.054659724E-2
2.320863583E0,7.841277122E-2,1.879388541E-1,1.522941589E-1
2.410882583E0,-1.333166212E-1,1.780359820E-2,2.373205870E-1
2.505870583E0,-1.320412457E-1,-2.613265812E-2,-6.502357125E-2
2.600835583E0,-9.270955920E-1,4.114949405E-1,2.806546390E-1
2.695831583E0,-2.053528875E-1,9.088736176E-1,7.104564309E-1
2.790831583E0,6.258334965E-2,1.020829916E0,9.660531878E-1
2.885808583E0,-1.542894363E0,-2.842448950E-1,2.830252349E-1
2.980790583E0,-2.906958759E-1,6.297215819E-2,5.127333999E-1
3.075770583E0,-1.060783267E0,2.961457968E-1,1.167308807E0
3.170783583E0,-6.364616752E-1,-1.092907563E-1,1.779042244E0
3.265773583E0,2.388122678E-1,4.815363884E-1,-6.697273850E-1
3.360760583E0,1.267852038E-1,1.173546433E0,7.071848512E-1
3.455747583E0,4.403283596E-1,9.556483030E-1,2.440027475E0
3.550735583E0,2.253541201E-1,2.830989063E-1,3.909608424E-1
3.645724583E0,-2.644420862E-1,-7.805016041E-1,3.587132692E-2
3.740589458E0,-1.176738381E0,3.172392724E-3,-4.625721276E-1
3.835577458E0,-1.287040591E0,-9.277381897E-1,-5.557848215E-1
3.930564458E0,3.682673573E-1,-4.737664461E-1,-9.651662707E-1
4.025545458E0,4.076924026E-1,3.142015934E-1,-2.765123844E-1
4.120541458E0,-3.345805407E-1,-4.283462465E-1,-1.185228825E-1
4.215512458E0,-5.891048312E-1,2.047731429E-1,-7.753932476E-1
4.305518458E0,5.469532013E-1,-7.731988430E-1,-2.549049854E-1
4.400502458E0,-1.782794483E-2,3.120295107E-1,-1.110415086E-1
4.495493458E0,-4.746888950E-2,-7.941115648E-2,1.757447124E-1
4.590482458E0,1.086437255E-1,-6.695180386E-2,1.909900904E-1
4.685468458E0,2.044800073E-1,-2.009672076E-1,-7.391991466E-2
4.780457458E0,-1.964563429E-1,6.056004763E-2,1.141532138E-1
4.875446458E0,-6.706096232E-2,-2.247057706E-1,1.292714179E-1
4.970403458E0,2.436805069E-1,2.225778401E-1,-8.588553220E-2
5.065389458E0,1.542260125E-2,2.870176136E-1,-2.007980831E-2
5.155409458E0,-3.171210289E-1,3.255722523E-1,7.042104006E-2
5.250393458E0,-2.709635347E-2,4.582692087E-1,-9.785879403E-2
5.345372458E0,2.042597681E-1,5.323761702E-1,8.831875026E-2
5.440368458E0,-2.076376230E-1,-5.172762275E-2,-2.082956433E-1
5.535359458E0,3.178106546E-1,-9.905326366E-1,2.509556338E-2
5.630325458E0,7.064402103E-2,-7.335786819E-1,-2.189764939E-2
5.725311458E0,6.422026455E-2,-2.319374233E-1,6.980428100E-2
5.820307458E0,2.189828306E-1,-2.363665253E-1,1.415715516E-1
5.910312458E0,-3.265526891E-2,3.605183586E-2,-2.910340577E-2
6.005300458E0,3.391235769E-1,4.667397141E-1,-4.460398257E-1
6.100281458E0,4.343700707E-1,2.636331320E-1,1.437253356E-1
6.195246458E0,3.143422604E-1,4.454998076E-1,-3.961104453E-1
6.290265458E0,-5.287138000E-2,9.287555814E-1,-2.618563771E-1
6.385249458E0,-1.904011369E-1,8.866374493E-1,-7.849889398E-1
6.480219458E0,-6.898019910E-1,9.649865031E-1,-4.373035431E-1
6.570227458E0,-4.748669267E-1,4.388018548E-1,6.110265106E-2
6.665216458E0,-3.380213380E-1,3.856763616E-2,1.289470792E-1
6.760193458E0,-6.585438550E-2,-9.922730923E-2,3.450914025E-1
6.855189458E0,-8.790597320E-2,-2.101895213E-1,3.581089675E-1
6.950180458E0,-7.375510782E-2,-3.674417734E-1,2.320873737E-1
7.045170458E0,9.782440215E-2,-1.715044081E-1,2.467519939E-1
7.140127458E0,8.641751856E-2,-1.386975199E-1,1.921826601E-1
7.235145458E0,3.279281035E-2,-1.424459815E-1,1.054052860E-1
7.330131458E0,3.896520659E-2,-4.064269736E-2,2.382441759E-1
7.425116458E0,9.299361706E-2,1.883484423E-2,3.876585960E-1
7.520107458E0,3.832997084E-1,2.006597370E-1,7.561131716E-1
7.615098458E0,3.811401725E-1,1.094522476E-1,3.580128253E-1
7.710086458E0,1.716038212E-2,-4.162798077E-2,1.645088941E-2
7.805071458E0,-6.125059724E-2,-7.033713907E-2,-1.556830108E-1
7.900062458E0,3.024110571E-2,-5.187171698E-2,-1.666250825E-1
7.995050458E0,-1.656956524E-1,-9.355309606E-2,-2.598980367E-1
8.090032458E0,-2.727467939E-2,-6.801519543E-2,-1.479191035E-1
8.185000458E0,-1.673060805E-1,-5.172817782E-2,-2.068169117E-1
8.275014458E0,-2.647201121E-1,-1.784867644E-1,-6.979233772E-2
8.369999458E0,4.104248807E-2,-7.625553012E-2,3.971482813E-1
8.464970458E0,-2.311969697E-1,-1.286647748E-2,5.115536451E-1
8.559967458E0,-5.655774474E-2,-5.319181830E-3,6.239415407E-1
8.654966458E0,1.759511530E-1,1.241805032E-1,7.715387344E-1
8.749813333E0,1.539595723E-1,-6.411647797E-2,6.570231318E-1
8.844802333E0,5.936262757E-2,5.414722860E-2,4.543247819E-1
8.939775333E0,-3.555057198E-2,-3.457612693E-1,-2.246663421E-1
9.034765333E0,-3.996385038E-1,-2.125995904E-1,3.584342301E-1
9.124775333E0,-2.350825816E-1,1.561563760E-1,3.904586732E-1
9.219740333E0,1.446220726E-1,2.017118968E-2,1.526909620E-1
9.309744333E0,-1.219963729E-1,1.683335751E-2,1.129439473E-1
9.404710333E0,4.835651070E-2,-3.969356418E-3,9.438411891E-2
9.494710333E0,-1.878555305E-2,2.612255327E-2,-4.591999203E-2
9.584720333E0,3.320408240E-2,9.348899871E-2,-5.529156700E-2
9.679693333E0,1.295285970E-1,2.048384398E-1,-3.992354497E-2
9.774680333E0,-2.681915881E-3,1.080266684E-1,-1.004267111E-1
9.869676333E0,1.718264073E-1,-1.757251844E-2,-2.080401331E-1
9.964671333E0,4.233852029E-3,1.027314272E-2,-2.821508050E-1
1.005965233E1,1.070714593E-1,-1.469402574E-2,-2.278297246E-1
1.015461933E1,1.535666138E-1,7.803054177E-5,-4.741294309E-2
1.024963533E1,9.825549275E-2,8.987918263E-4,-5.219314620E-2
1.034462333E1,-2.583942376E-2,9.927798063E-2,-1.410924196E-1
1.043961133E1,-5.979963765E-2,7.670011371E-2,-1.444962472E-1
1.053457233E1,-8.655184507E-2,4.688575119E-2,-1.116014272E-1
1.062458833E1,-9.926361591E-2,-4.949306697E-2,6.870843470E-2
1.071957633E1,4.689205904E-3,1.486662179E-1,1.700972319E-1
1.081456533E1,-2.853978574E-1,-6.395246089E-2,3.706606925E-1
1.090955233E1,5.904262066E-1,1.771301776E-1,4.331280664E-2
1.100454033E1,2.551119626E-1,-2.340105921E-2,-4.203079045E-1
1.109953033E1,4.694464803E-2,-2.176360041E-2,-6.065518260E-1
1.119451633E1,2.222081833E-2,1.156487986E-1,-6.275682449E-1
1.128950433E1,3.015237153E-1,9.851588309E-2,-1.252573133E-1
1.138449333E1,6.285198331E-1,-5.747348070E-2,1.689251885E-2
1.147945433E1,2.730827630E-1,5.404949188E-2,1.448347000E-3
1.156946933E1,-4.507767856E-1,-4.298567474E-1,5.171857309E-3
1.166445833E1,1.067268252E-1,4.574483335E-1,4.830392301E-1
1.175944733E1,4.273326695E-1,5.159441233E-1,3.899011612E-1
1.185443133E1,-2.922471762E-1,9.581343085E-2,6.954406947E-2
1.194942033E1,-4.395836219E-2,3.820139170E-1,1.751177907E-1
1.204441133E1,1.400009543E-1,-2.306185663E-2,5.378589779E-2
1.213938433E1,1.793865860E-1,-1.134364679E-1,8.647046983E-2
1.223436633E1,1.732287109E-1,-6.188142300E-2,1.810250729E-1
1.232437433E1,5.409003422E-2,1.246125177E-1,2.526872456E-1
1.241936433E1,7.371450216E-2,1.445783675E-1,1.803686172E-1
1.251435033E1,3.955280036E-2,1.743248254E-1,1.895269305E-1
1.260931633E1,-1.326590031E-1,-9.320961684E-2,1.442453414E-1
1.269932033E1,-1.145275459E-1,-1.655714214E-1,1.702732146E-1
1.279431633E1,-5.231131986E-2,1.054608002E-1,1.314226240E-1
1.288930333E1,-1.040675864E-1,2.945607901E-2,1.141979620E-1
1.298427433E1,-1.227098331E-1,-1.344058514E-1,-3.340918943E-2
1.307927133E1,5.174887553E-2,-1.007210016E-1,-5.002737790E-2
1.317426833E1,2.493576407E-1,6.096588075E-2,-9.252002835E-2
1.326925633E1,-3.750028089E-2,2.237750776E-2,-1.216738671E-1
