"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.319707542E0,-1.377790719E-1,-3.680470865E-3,-8.620956913E-3
8.414680542E0,-1.561522186E-1,4.868421331E-2,-3.655777080E-3
8.509665542E0,-2.309800982E-1,-3.765264899E-2,8.548121154E-2
8.604645542E0,-6.019982100E-1,-2.904116809E-1,1.586908996E-1
8.699612542E0,-8.112629503E-2,-2.687260322E-2,-6.657240540E-2
8.794604542E0,-3.731516004E-2,-9.755802341E-3,-1.173879951E-1
8.889583542E0,5.112953782E-1,1.490124166E-1,-1.651280820E-1
8.984537542E0,6.105496883E-1,1.658765376E-1,2.011191249E-1
9.074541542E0,1.929100007E-1,2.306581736E-1,2.662182450E-1
9.169522542E0,1.174271405E-1,4.705251455E-1,3.103744984E-1
9.264483542E0,-5.054507405E-2,6.126372218E-1,5.373021960E-1
9.359463542E0,5.947925523E-2,9.030824900E-1,4.924049079E-1
9.454449542E0,1.666325778E-1,5.962709785E-1,2.154940814E-1
9.549442542E0,3.732513487E-1,5.394211411E-1,1.973956525E-1
9.644408542E0,-1.222990751E-1,2.764348686E-1,7.403476164E-3
9.739372542E0,3.549046442E-2,2.246746719E-1,-2.501714043E-2
9.834366542E0,5.157710910E-1,3.481961489E-1,-2.104821242E-2
9.929358542E0,2.113220096E-1,-1.438473463E-1,-6.879730523E-2
1.002433854E1,-1.141877025E-1,-2.536789179E-1,-9.590775706E-3
1.011929354E1,1.580897421E-1,-1.161756366E-1,2.246395200E-1
1.021429554E1,2.336543500E-1,-3.131168336E-2,3.430592641E-2
1.030927554E1,-1.016886756E-1,-1.682728678E-1,-7.681591902E-3
1.040425754E1,1.560326517E-1,-9.273933619E-2,2.000102848E-1
1.049923454E1,2.409434021E-1,3.333742172E-2,1.704680622E-1
1.059421454E1,-2.779730782E-2,1.289906204E-1,8.556132019E-2
1.068919554E1,-1.051100969E0,-4.058739543E-2,3.944648430E-2
1.078417254E1,-1.697397381E-1,-1.717052609E-1,-1.577376202E-2
1.087915354E1,-3.655947745E-2,8.542890847E-2,1.367876977E-1
1.097413454E1,-2.455701977E-1,2.312823683E-1,8.558347821E-3
1.106910354E1,-9.348171353E-1,1.076851413E-1,-7.405669242E-2
1.116409154E1,-4.370531142E-1,-2.093472481E-1,-9.587796777E-2
1.125907154E1,2.249891311E-1,-2.889063954E-1,1.545485258E-1
1.135389142E1,-1.812848002E-1,-3.589098528E-2,3.457985222E-1
1.144885942E1,4.672695100E-1,3.866935521E-2,1.510622740E0
1.154384142E1,1.057174087E0,1.053601503E0,3.188937426E0
1.163882942E1,5.666409731E-1,1.442009211E0,2.916504860E0
1.173381042E1,-5.758371949E-1,-8.512592316E-1,1.124139547E0
1.182877342E1,-1.142745018E-1,-8.023430109E-1,3.675676882E-1
1.192375942E1,2.231046706E-1,-2.106384337E-1,2.319865227E-1
1.201874842E1,-5.660529733E-1,1.572939008E-1,1.260855556E0
1.211372942E1,-1.307142019E0,1.326754451E0,3.687928915E0
1.220870542E1,-1.758999705E0,9.143496752E-1,2.373921156E0
1.230367342E1,-1.276582599E0,1.245286345E0,1.703782797E0
1.239866642E1,-1.190167546E0,2.546346664E0,1.563058019E0
1.249364442E1,-2.872193456E-1,1.627816439E0,6.109367609E-1
1.258862442E1,-1.477950662E-1,-6.165866256E-1,-3.760356307E-1
1.268360442E1,1.318622679E-1,-7.260816693E-1,-3.102722019E-2
1.277855742E1,9.395087957E-1,-1.501881003E0,-6.522072554E-1
1.286856242E1,6.970525980E-1,-1.848325729E0,-1.685410619E0
1.296354242E1,1.054508567E0,-1.514750123E0,-1.842153668E0
1.305852142E1,4.191292524E-1,-7.522172332E-1,-1.506967545E0
1.315349642E1,2.863031328E-1,-3.313696682E-1,-9.633440971E-1
1.324845242E1,2.601839900E-1,-8.126277477E-2,-5.448297858E-1
1.333846042E1,6.455267072E-1,1.773968935E-1,-2.620914280E-1
1.343344042E1,2.323243171E-1,1.941786110E-1,-1.903535277E-1
1.352838942E1,-2.866250575E-1,4.872193094E-3,1.709987074E-1
1.362337542E1,-8.930104971E-1,-6.221196651E-1,1.977336966E-2
1.371337842E1,-8.740771413E-1,-2.985753119E-1,3.542516530E-1
1.380835842E1,-9.700701833E-1,6.207363009E-1,1.477922201E0
1.390332142E1,-1.014611244E0,9.135539532E-1,1.925925970E0
1.399830942E1,-5.256699324E-1,9.265255928E-1,1.221953034E0
1.409327942E1,-1.849005222E-1,8.162904978E-1,1.058292985E0
1.418827242E1,-9.589766860E-1,-1.249667779E-1,1.098737493E-1
1.428325142E1,4.304062128E-1,-2.372108996E-1,5.323109031E-1
1.437821742E1,1.030633599E-1,2.630288601E-1,5.880129337E-1
1.447321042E1,-5.284904838E-1,7.782428712E-2,4.891398549E-1
1.456819042E1,7.255285978E-2,-4.368080497E-1,8.270197511E-1
1.466317042E1,-6.471234560E-1,-2.337240428E-1,8.472330570E-1
1.475814842E1,-7.236658782E-2,3.199906647E-1,8.439790606E-1
1.485312842E1,7.986733317E-1,7.377279550E-2,1.087418437E0
1.494810842E1,8.475999236E-1,2.522119321E-2,3.721478879E-1
1.504308442E1,-1.543626547E0,1.460627764E-1,-6.359787583E-1
1.513806542E1,-1.822469950E0,2.073094696E-1,-7.794367075E-1
1.523304442E1,-1.230855584E0,1.600223035E-1,-6.565690637E-1
1.532799542E1,6.439536810E-3,-6.552520394E-1,-3.797732592E-1
1.541800242E1,4.070387036E-2,2.838149071E-1,2.240704447E-1
1.551298042E1,-4.867413938E-1,1.142282709E-1,7.216367126E-1
1.560796242E1,-1.465000987E0,4.956549168E0,1.909978986E0
1.570293442E1,4.298326373E-1,9.655152321E0,3.513348103E0
1.579790042E1,2.662359238E0,1.234179115E1,7.364488244E-1
1.589289942E1,4.611711025E0,4.274329185E0,-1.326047063E0
1.598785142E1,-4.136087894E0,-4.190481663E0,-2.254710674E0
1.608283842E1,-3.695495605E0,-9.622457623E-1,9.081277251E-1
1.617780842E1,2.129600048E0,-2.063963890E0,2.343003750E0
1.626781742E1,2.337917089E0,1.338716269E0,1.379012465E0
1.636266625E1,2.185798883E-1,-4.304176569E-1,-4.053231478E-1
1.645764725E1,-1.636288285E0,-1.053859830E0,-1.887058139E0
1.655262425E1,-2.788937092E-1,1.386517167E0,-1.940593600E0
1.664760325E1,1.450343251E0,7.201506495E-1,-9.289902449E-1
1.674258325E1,1.079013348E0,-8.974058628E-1,3.587958515E-1
1.683756325E1,7.992904782E-1,2.169663310E-1,1.365994334E0
1.693254025E1,2.897932529E-1,3.626517951E-1,1.758063793E0
1.702751925E1,-3.977895901E-2,-6.429009885E-2,1.480771899E0
1.712250025E1,-1.150839806E0,6.863576770E-1,3.936049044E-1
1.721747625E1,-5.690109253E0,3.324835777E0,-1.840839624E0
1.731245625E1,-6.715268612E0,4.042250633E0,-5.966529369E0
1.740743625E1,5.946580410E0,1.946422696E0,-2.005415440E0
1.750239725E1,3.296351194E0,8.871386528E0,4.948273182E0
1.759739425E1,-2.487572908E0,-8.702914238E0,1.214276195E0
1.769237325E1,-2.601851702E0,-9.338573456E0,3.457239866E0
1.778734125E1,3.113945007E0,4.803858280E0,3.924009323E0
1.788230625E1,3.776023865E0,7.702086568E-1,3.618028164E0
1.797230925E1,2.202619553E0,-5.969723225E0,1.216072202E0
1.806728925E1,2.772187233E0,-1.710904986E-1,-5.562818050E-1
1.816224925E1,1.421764970E0,3.389564991E0,-7.502029538E-1
1.825724625E1,-9.363734126E-1,-2.753817558E0,-1.852131933E-1
1.835221125E1,-7.314366698E-1,-1.968995452E0,-1.757710725E-1
1.844720225E1,5.969889760E-1,2.365222454E0,-8.315646648E-1
1.854218225E1,-2.854819298E-1,-2.326431036E0,-6.730458140E-1
1.863716225E1,-2.355361700E0,-2.089649439E0,-1.019196272E0
1.873213925E1,-2.654938698E-1,2.325195551E0,-1.999567866E0
1.882711825E1,8.088108301E-1,2.635905266E0,-2.448930740E0
1.892209825E1,2.354166508E-1,-3.056489944E0,-2.102476120E0
1.901707425E1,-3.516870737E-1,-5.518190861E0,-1.505823016E0
1.911203625E1,4.517905712E-1,1.971161485E0,-1.626089334E0
1.920703425E1,-4.194750786E0,4.299977779E0,-3.309513569E0
1.930199125E1,-9.367206693E-1,-4.700398922E0,-2.860038996E0
1.939699125E1,4.169601500E-1,6.030957699E0,-1.008633971E0
1.949197125E1,1.549833536E0,-3.175311163E-2,-2.741297483E-1
1.958693225E1,-6.282256842E-1,-3.708284855E0,-5.034711957E-1
1.968191425E1,4.502656758E-1,-6.632756591E-1,-2.932795323E-2
1.977690625E1,1.165991664E0,2.587457001E-1,1.728785634E-1
1.987188425E1,-9.381009936E-1,-1.420494080E0,-2.288439721E-1
1.996684025E1,-2.201553822E0,1.137922630E-1,-7.186098099E-1
2.006182025E1,-1.193293691E0,-7.721030712E-1,5.226154327E-1
2.015681925E1,1.086964607E0,1.469555974E0,2.944716215E0
2.025179925E1,1.442168802E-1,2.328132629E0,4.124690056E0
2.034674925E1,2.683008611E-1,-2.028943062E0,3.495392561E0
2.044175525E1,-1.150144577E0,-2.312965393E0,1.376084924E0
2.053673525E1,-1.457852602E0,-2.005521297E0,-9.089153409E-1
2.063171425E1,-5.292544365E-1,5.333749056E-1,-2.297443867E0
2.072666425E1,4.184141457E-1,1.911432147E0,-2.448601484E0
2.081667025E1,4.184640050E-1,2.140696287E0,-1.669672847E0
2.091164925E1,3.204418719E-2,1.110031962E0,-3.055191338E-1
2.100663025E1,2.638945878E-1,2.536163926E-1,1.078605413E0
2.110160525E1,5.895743370E-1,-1.202874303E0,1.945016026E0
2.119658525E1,-3.079213202E-1,-2.225165844E0,1.918367505E0
2.129142625E1,-5.118303299E-1,-1.269435048E0,1.333130836E0
2.138639825E1,-2.199124396E-1,3.445396721E-1,2.917816639E-1
2.147640525E1,-2.430817187E-1,8.525153399E-1,-6.884550452E-1
2.157138625E1,9.294725060E-1,1.875877619E0,-1.198327541E0
2.166636525E1,7.068695426E-1,1.160503507E0,-1.448961616E0
2.176133125E1,-1.240144968E-1,-9.192786217E-1,-1.125621200E0
2.185632025E1,1.182894874E-2,-8.904453516E-1,7.511629909E-2
2.195130025E1,1.985656768E-1,-9.976065755E-1,1.355698228E0
2.204625825E1,1.777699143E-1,-6.547236443E-1,2.028513193E0
2.214125425E1,-3.885155618E-1,9.236965328E-2,1.639961481E0
2.223622025E1,-3.269244134E-1,1.811705083E-1,5.865460038E-1
2.233121125E1,1.318523735E-1,6.754376888E-1,-5.606760383E-1
2.242619125E1,-8.561975509E-2,8.380267620E-1,-1.290976048E0
2.252116325E1,-5.424705148E-2,-1.839094609E-1,-1.084213614E0
2.261614525E1,1.470882177E0,-7.072023153E-1,1.422777772E-1
2.271112525E1,1.394305825E0,1.310701728E0,1.503605366E0
2.280610525E1,-4.059752524E-1,-1.359449506E0,1.857577324E0
2.290108125E1,7.117136121E-1,-7.653179169E-1,1.026096344E0
2.299606125E1,1.640018702E0,1.507468224E0,-2.015903294E-1
2.309103925E1,-2.106834501E-1,-2.168285847E-1,-9.171919823E-1
2.318600125E1,-1.459715724E0,-3.512917459E-1,-4.978496730E-1
2.328099625E1,-1.502326012E0,1.201808095E0,6.259328127E-1
2.337597425E1,-9.830456972E-1,-9.557810426E-1,1.486267924E0
2.347094125E1,8.862308860E-1,-7.451577783E-1,5.620762706E-1
2.356593025E1,1.919915229E-1,1.208899975E0,-8.722355366E-1
2.366091025E1,-1.376077890E0,-1.776852012E0,-7.396272421E-1
2.375588325E1,5.887800455E-1,-1.303481817E0,4.486210644E-1
2.385084925E1,2.379178047E0,3.890452862E0,4.052162170E-1
2.394583125E1,1.518930197E0,-1.624815583E0,-5.375757217E-1
2.404082025E1,-1.044457316E0,-5.262659788E-1,-9.428626299E-1
2.413577025E1,-4.535869658E-1,2.476037443E-1,-3.257396221E-1
2.423076225E1,-2.127243519E0,1.342196167E-1,7.117426395E-1
2.432575525E1,-3.640859127E0,-2.600539923E-1,1.502533317E0
2.442073425E1,-7.947210670E-1,-1.615989059E-1,1.426286817E0
2.451570925E1,-4.901303649E-1,9.189963341E-1,-7.016175389E-1
2.461068925E1,5.281306505E-1,2.255447626E0,-1.183269024E0
2.470566825E1,5.909793377E-1,-1.901995182E0,-9.371224642E-1
2.480064725E1,1.340589046E0,2.298870534E-1,1.022277251E-1
2.489562325E1,7.575696707E-1,8.302777410E-1,9.115598202E-1
2.499060225E1,-1.036869049E0,-1.865341187E0,7.628402710E-1
2.508558125E1,-3.286033273E-1,7.031251192E-1,8.668254018E-1
2.518055725E1,-7.637951523E-2,8.019965291E-1,-5.215114951E-1
2.527553725E1,-1.356369909E-2,2.353646606E-1,-1.176003456E0
2.537051025E1,9.067948908E-2,2.504344881E-1,-4.506556690E-1
2.546547825E1,2.224103808E-1,3.688652441E-2,6.838842034E-1
2.556044925E1,9.871806204E-2,-5.428074002E-1,6.775782108E-1
2.565045025E1,8.567591757E-2,-3.175502717E-1,4.730808437E-1
2.574542925E1,-2.224216163E-1,1.645436734E-1,2.169040591E-1
2.584038625E1,-7.612607479E-1,-2.247059345E-2,3.937545121E-1
2.593538325E1,-1.276054233E-1,1.696614891E-5,8.501912355E-1
2.603035125E1,1.445048302E-1,-7.744972706E-1,1.340525031E0
2.612533825E1,3.976830244E-1,-5.359568596E-1,1.525169373E0
2.622029325E1,-1.240232885E-1,-1.409549832E0,1.238277793E0
2.631517138E1,-1.214113459E-1,-6.143784523E-1,8.388359547E-1
2.641015538E1,-2.294213325E-1,-3.218797743E-1,2.081154883E-1
2.650513538E1,-3.572013378E-1,3.691708669E-2,-3.665855229E-1
