"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.300679667E0,3.477163985E-2,-2.024549842E-1,-7.802748680E-2
8.390694667E0,5.600752234E-1,-2.296838909E-1,-2.040742636E-1
8.485679667E0,1.643099487E-1,1.382109523E-1,-6.310871840E-1
8.580672667E0,1.087120399E-1,-1.727797389E-1,-4.599090815E-1
8.675660667E0,5.386118591E-2,-1.416437924E-1,-9.833988547E-2
8.770643667E0,9.789054096E-2,-7.082682848E-2,-4.175901040E-2
8.865618667E0,4.024309665E-2,-1.082042307E-1,4.732387606E-3
8.955619667E0,-1.433762664E-4,-8.602533489E-2,-9.576096199E-3
9.050616667E0,-1.833369769E-2,-1.030793861E-1,1.163272653E-2
9.145582667E0,-2.382740378E-3,-4.127382115E-2,-1.508591603E-2
9.240578667E0,1.665602066E-2,-2.515370958E-2,-7.526963484E-3
9.335552667E0,-1.857371815E-2,-6.030376535E-3,5.908004008E-3
9.425573667E0,8.890001774E-1,-5.863324553E-2,-1.750825197E-1
9.520551667E0,1.006433219E-1,7.692370564E-4,-8.982244879E-3
9.615547667E0,-3.418337926E-2,-1.281474084E-1,1.596677154E-1
9.710509667E0,-2.744133472E-1,-1.472655386E-1,1.521877199E-1
9.800528667E0,-4.097632170E-1,-8.801616728E-2,1.656128913E-1
9.895516667E0,2.760902047E-1,-2.317126542E-1,9.157644212E-2
9.990486667E0,-1.462394297E-1,1.910788864E-1,7.958730310E-2
1.008547667E1,-2.603914142E-1,1.082416102E-1,1.813534833E-2
1.017547967E1,-3.535235524E-1,2.359803021E-1,4.766774178E-2
1.027047067E1,2.371466905E-1,-5.368920416E-2,1.086366698E-1
1.036545667E1,6.787935644E-2,-1.080827639E-1,6.057373248E-3
1.046043867E1,-2.458562851E-1,1.116878167E-1,6.513755023E-2
1.055543367E1,-6.351974607E-1,4.877417982E-1,6.855683029E-2
1.065042867E1,-4.135960937E-1,6.998281479E-1,7.190271467E-2
1.074541867E1,5.251784921E-1,-6.428578496E-2,-1.571103483E-1
1.084040467E1,3.223989904E-1,9.988573194E-2,1.720066555E-2
1.093539367E1,2.422657013E-1,2.499083877E-1,5.213960074E-3
1.103038367E1,1.914780885E-1,3.858632743E-1,-8.955140412E-2
1.112537167E1,-8.374983072E-2,1.482562274E-1,-1.871459931E-2
1.122036167E1,-2.260268629E-1,1.496982872E-1,-4.987216741E-2
1.131535067E1,-1.707126498E-1,9.501676261E-2,-1.769885719E-1
1.141031067E1,4.110563919E-2,-8.467217535E-2,2.171617560E-2
1.150032767E1,-2.474971414E-1,-9.197082371E-2,7.978203893E-2
1.159531667E1,2.081609070E-1,-2.369129360E-1,-7.414799929E-2
1.169030767E1,1.944666654E-1,-2.195299417E-1,-2.458636612E-1
1.178527467E1,-6.133532897E-2,-9.872221202E-2,7.515019923E-2
1.187528467E1,9.671118110E-2,-3.137974814E-2,-4.403169453E-2
1.197027267E1,-5.729706585E-2,-8.154930174E-2,9.855940193E-2
1.206523367E1,3.086364567E-1,-5.428748727E-1,1.314816773E-1
1.215525167E1,5.864490289E-3,-2.513036430E-1,2.606845200E-1
1.225022667E1,2.274396420E-1,-3.513134718E-1,1.033304408E-1
1.234022967E1,-3.089139462E-1,-8.963406086E-2,1.921334714E-1
1.243518967E1,-3.319450617E-1,-6.968987733E-2,1.343074739E-1
1.252520867E1,-3.697498739E-1,2.701659501E-1,7.294911891E-2
1.262019567E1,-6.838829140E-4,1.677302122E-1,-3.721484542E-2
1.271518467E1,3.905265033E-1,1.862587221E-2,-1.011692956E-1
1.281017367E1,6.280059218E-1,-2.091962397E-1,-4.890403450E-1
1.290516467E1,5.691990256E-1,-2.421464175E-1,-1.378890723E-1
1.300004554E1,-5.897338316E-2,-9.255664796E-2,-2.487188727E-1
1.309503454E1,9.177161753E-2,-1.252883673E-1,-5.330296233E-2
1.319002554E1,-1.747922152E-1,-4.560593516E-3,-6.187540013E-3
1.328499254E1,-1.235165969E-1,-1.391261220E-1,1.663451940E-1
1.337500254E1,1.862341315E-1,-6.138840318E-2,9.433900565E-2
1.346999154E1,1.433404256E-2,-1.282969266E-1,7.063364983E-2
1.356498054E1,-1.274417937E-1,9.008777142E-2,-1.211778969E-1
1.365994154E1,-2.577446997E-1,9.141618013E-2,-1.937708110E-1
1.375494054E1,-1.565029025E-1,1.003404409E-1,6.600897759E-2
1.384494754E1,-5.048941970E-1,2.356130630E-1,9.632633626E-2
1.393993054E1,-2.625476755E-2,-1.246987879E-1,-5.759797245E-2
1.403490754E1,-4.081526399E-1,1.625440419E-1,1.326716989E-1
1.412990154E1,-1.155960262E-1,8.532414585E-2,4.656600766E-3
1.421990354E1,-8.292724192E-2,1.431242228E-1,2.177352086E-2
1.431489354E1,-1.524190009E-1,2.064705044E-1,1.923966855E-1
1.440984954E1,2.626240253E-1,-1.211985126E-1,-2.730926732E-3
1.450484654E1,3.702264428E-1,6.227010489E-2,-1.047295257E-1
1.459983154E1,7.962316871E-1,-3.543866873E-1,-1.619779617E-1
1.468984954E1,2.692018449E-1,-2.447987497E-1,2.232190780E-2
1.478482554E1,5.078025460E-1,-2.254912704E-1,-1.864787638E-1
1.487981554E1,-8.254332095E-2,1.832989417E-2,2.120661363E-2
1.497479654E1,9.879147634E-3,-1.665341407E-1,1.112253964E-1
1.506480554E1,3.300005198E-1,-1.573520452E-1,-4.137462378E-2
1.515979454E1,5.808712915E-2,1.613889448E-2,1.322552562E-1
1.525475154E1,2.080360055E-2,5.378565285E-3,1.447344571E-1
1.534975054E1,-1.106678545E-1,1.089913622E-1,4.615402222E-2
1.543975554E1,-5.213803798E-2,-1.644199900E-2,9.299956262E-2
1.553475054E1,1.595665663E-1,-6.655998062E-3,-6.593465060E-2
1.562973954E1,-4.562315047E-1,1.421314031E-1,-1.212443113E-1
1.572472054E1,-3.000570536E-1,8.960169554E-2,-7.804318517E-2
1.581971754E1,3.756072745E-2,-5.711877942E-1,-1.582082734E-2
1.591469754E1,9.444424510E-1,-4.520146176E-2,-3.472093642E-1
1.600969654E1,3.074828684E-1,-3.060796484E-2,-6.873074174E-2
1.610466054E1,5.685560107E-1,-2.774992585E-1,-1.867764145E-1
1.619467354E1,-1.308663748E-2,-8.121501654E-2,-1.364812553E-1
1.628966354E1,-2.232486755E-2,2.517366409E-2,6.755054742E-2
1.638465354E1,-1.401515007E-1,1.263420582E-1,1.416895986E-1
1.647964054E1,6.773831695E-2,5.553393066E-2,1.012915671E-1
1.657463054E1,-2.099707164E-2,2.184142359E-2,3.348384798E-2
1.666959054E1,3.603271209E-3,2.825182304E-2,1.131279208E-2
1.675960954E1,-1.309774369E-1,-8.329311758E-2,-6.534071639E-3
1.685458254E1,-1.726460271E-2,-1.445577145E-1,2.885341272E-2
1.694458754E1,-8.361442387E-2,-1.993705183E-1,2.564414740E-1
1.703957654E1,-2.840401530E-1,-1.579361223E-2,-4.657618329E-2
1.713456554E1,-1.355881989E-1,-1.070730947E-2,1.124908589E-2
1.722955454E1,-4.753375947E-1,2.133768499E-1,-1.600530446E-1
1.732454254E1,-1.652617939E-2,-4.960528761E-2,3.381367773E-2
