"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.694290417E-1,-4.171403497E-2,-2.262185067E-1,1.322936825E-2
2.644080417E-1,-9.123075008E-2,-1.298264563E-1,-9.305942059E-2
3.593580417E-1,-9.674160182E-2,-6.277844310E-2,-1.029230654E-1
4.543390417E-1,-1.346543431E-1,-5.669100210E-2,-1.512556672E-1
5.443450417E-1,4.512973130E-2,-2.356864363E-1,-2.350912094E-1
6.393260417E-1,1.031936407E-1,-4.032482803E-1,-5.406367779E-1
7.342970417E-1,1.144181609E0,-5.962619781E-1,-1.024530530E0
8.292850417E-1,-1.370313644E0,-7.757802010E-1,-7.445959449E-1
9.242650417E-1,9.973187447E-1,8.098170161E-1,-2.761213481E-1
1.019246042E0,7.229885459E-1,1.070061088E0,-5.385810733E-1
1.114222042E0,1.134069681E0,-1.730621010E-1,-5.394219756E-1
1.209202042E0,2.143683583E-1,-1.644736975E-1,2.073571272E-2
1.304184042E0,1.014914587E-1,-8.412855677E-3,-2.135587297E-2
1.399161042E0,1.610584259E-1,-1.967889220E-1,4.817949980E-2
1.494142042E0,1.372816712E-1,-4.267126918E-1,-8.004221320E-2
1.589097042E0,7.930666953E-2,-2.945156991E-1,-5.664222687E-2
1.684075042E0,3.684258321E-3,2.206346020E-2,-3.837188333E-2
1.779068042E0,-1.081682667E-1,-4.809496179E-2,-1.318132281E-1
1.874061042E0,-1.800065935E-1,-1.999170333E-1,-1.457178593E-1
1.969031042E0,-5.470141768E-2,-1.589749306E-1,-1.446605325E-1
2.064013042E0,-3.373185098E-1,-2.659429982E-2,-9.986631572E-2
2.158979042E0,-3.660331964E-1,3.929942548E-1,1.749227569E-2
2.248980042E0,-4.083473086E-1,4.616496563E-1,1.147523597E-1
2.343958042E0,-1.746398926E0,-1.257772446E-1,9.739907384E-1
2.438922042E0,-2.399146080E0,-1.330805898E0,1.151691675E0
2.533888042E0,1.657198966E-1,-5.474341512E-1,2.182345629E0
2.623898042E0,4.402280748E-1,-2.438497543E0,6.039544940E-1
2.718877042E0,1.896487951E0,6.272041798E-1,1.616548561E-2
2.813837042E0,-6.714090109E-1,1.763154745E0,-3.648040295E-1
2.908827042E0,-9.274444580E-1,-2.662789822E-1,-2.877478600E-1
3.003815042E0,-1.479728073E-1,5.526293516E-1,-3.263765574E-1
3.098795042E0,-2.329787426E-2,8.917203546E-1,-2.083102763E-1
3.193775042E0,-7.964406013E-1,-1.294661611E-1,-7.719206065E-2
3.288748042E0,-6.126166880E-2,1.585862190E-1,-2.355367243E-1
3.383732042E0,2.657371759E-1,7.575892806E-1,-1.187171564E-1
3.478713042E0,-1.064311385E0,9.583340287E-1,1.866808385E-1
3.573691042E0,7.911322713E-1,-4.879732430E-1,-4.391310364E-2
3.668671042E0,-7.642473280E-2,-3.753424808E-2,-4.202086031E-1
3.763651042E0,5.575592443E-2,-3.123933077E-1,-1.962910295E-1
3.858627042E0,-2.462711334E-1,-7.102999091E-1,-1.772743315E-1
3.953478792E0,-4.434568342E-3,-9.504833072E-2,-1.998444349E-1
4.048436792E0,-2.414492518E-2,-1.074561700E-1,-1.254525930E-1
4.138439792E0,-1.466568261E-1,1.463195123E-2,-1.473159492E-1
4.233396792E0,-6.181785837E-2,9.137674421E-2,3.358812770E-3
4.323396792E0,-1.413002461E-1,6.545270234E-2,-2.181771956E-2
4.418377792E0,6.592001300E-3,6.602740288E-2,-3.110804409E-2
4.513357792E0,-1.524066925E-1,-1.304009184E-2,7.851073146E-2
4.608321792E0,1.796670258E-3,6.213784218E-2,4.554485157E-2
4.703287792E0,-7.114130259E-2,-3.252017125E-2,1.741397977E-1
4.793294792E0,-8.930786699E-2,3.769676015E-2,1.481271982E-1
4.888275792E0,-3.054496646E-2,3.670332581E-2,1.103254035E-1
4.983231792E0,-1.645240560E-2,-6.020172499E-3,9.252013266E-2
5.078226792E0,-4.484822601E-2,-1.168700960E-2,4.647691175E-2
5.173213792E0,4.975847527E-2,-1.023803577E-1,-6.201594323E-2
5.268165792E0,3.631235659E-2,7.789709419E-2,-4.154892638E-2
5.363161792E0,-5.296402425E-2,7.217337191E-2,-4.342232645E-2
5.458135792E0,1.042027026E-1,2.119648829E-2,-1.408357024E-1
5.553127792E0,-3.731207550E-2,-5.172840133E-2,-1.024410799E-1
5.648108792E0,-5.086524487E-1,-1.859831214E-1,1.312893778E-1
5.743088792E0,4.106025100E-1,-6.048181057E-1,1.041951999E-1
5.838065792E0,3.237442672E-1,1.959874332E-1,-1.362938881E-1
