"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.607778333E-1,-9.808166325E-2,-1.987417042E-1,-3.971450031E-2
2.557638333E-1,-6.972508878E-2,-6.964067370E-2,-5.487017706E-2
3.507458333E-1,-1.014442295E-1,5.511986092E-2,-2.260554582E-2
4.457318333E-1,-6.810937822E-2,-4.621747509E-2,-5.170772225E-2
5.407168333E-1,-5.532532185E-2,-7.399366051E-2,-5.457339808E-2
6.356998333E-1,-9.722293168E-2,-4.632263258E-2,-4.559473321E-2
7.306858333E-1,-1.040587500E-1,-4.207382724E-2,-2.215419151E-2
8.256718333E-1,-8.699245006E-2,-2.927335724E-2,-3.802491352E-2
9.206288333E-1,3.289740300E-3,-2.683375031E-2,-3.606548905E-2
1.010639833E0,-1.977467351E-2,-2.923243679E-2,-8.959255368E-2
1.105600833E0,-1.807989180E-1,-4.040108249E-2,-1.841599680E-2
1.195610833E0,-3.826477006E-2,-1.199226361E-2,-4.187951609E-2
1.290596833E0,2.393301725E-1,-1.786881983E-1,-1.195775196E-1
1.385578833E0,2.126582712E-2,-1.582412571E-1,-1.184560508E-1
1.480555833E0,-1.344687939E-1,-2.544734180E-1,-1.614624262E-2
1.575535833E0,-8.542967588E-2,-2.235687673E-1,-4.445175827E-2
1.665537833E0,-9.677642956E-3,-2.310895473E-1,-7.862517238E-2
1.760501833E0,-4.595934972E-2,-2.308478951E-1,-2.151788771E-1
1.850506833E0,-8.988327980E-1,-6.488215327E-1,-9.277663231E-1
1.945463833E0,-1.304235578E0,-2.477672577E0,-1.749922633E0
2.035478833E0,-6.686410308E-1,-2.314275265E0,-2.061081171E0
2.130319333E0,-7.625755668E-1,-1.951819658E0,-2.017580986E0
2.220322333E0,-2.414988130E-1,-6.755964756E-1,-1.942511082E0
2.315305333E0,8.374419212E-1,-1.062668920E0,-1.124488473E0
2.410291333E0,3.166489601E-1,-1.249836445E0,-2.081152201E-1
2.505277333E0,4.574581683E-1,-3.499724567E-1,9.111662954E-2
2.600240333E0,-2.629971504E-1,-7.274602652E-1,3.052637726E-2
2.690246333E0,-4.675423801E-1,5.064200163E-1,4.456124008E-1
2.785233333E0,5.370961428E-1,4.234051108E-1,-4.992895722E-1
2.880214333E0,5.858792663E-1,2.415887415E-1,-4.043645263E-1
2.975186333E0,5.155399814E-2,-4.301716983E-1,-3.544570506E-1
3.070183333E0,2.074417621E-1,4.212553203E-1,8.573349565E-2
3.165174333E0,1.163897887E-1,-4.713046849E-1,-3.834784776E-2
3.260157333E0,1.448523551E-1,-4.014349580E-1,1.144997962E-2
3.355124333E0,-3.151945770E-1,1.339568645E-1,1.957561821E-1
3.450114333E0,9.847247042E-3,7.194375247E-2,-1.482603699E-1
3.540114333E0,-1.589746773E-1,3.250151277E-1,8.879041672E-1
3.635070333E0,3.964908421E-1,1.893207729E-1,1.787809283E-2
3.725070333E0,3.098008037E-1,4.654204547E-1,-4.644904435E-1
3.820060333E0,-4.932764173E-2,4.581337869E-1,-6.615705043E-2
3.915052333E0,2.128985375E-1,-3.557619750E-1,1.898636669E-1
4.010038333E0,-4.329397380E-1,-3.174697161E-1,-2.070921808E-1
4.105003333E0,2.862955630E-1,4.731796682E-1,-5.817532539E-1
4.199999333E0,9.059001207E-1,-1.642173678E-1,-5.532349348E-1
4.294989333E0,3.428250551E-1,-3.522695899E-1,1.581096500E-1
4.389979333E0,-8.693756461E-1,-4.346669614E-1,7.565665245E-1
4.484965333E0,6.005943418E-1,-3.784502745E-1,5.537211299E-1
4.579949333E0,1.450570673E-1,3.482939005E-1,3.005129695E-1
4.674935333E0,6.569342315E-2,-1.428416371E-2,3.970963359E-1
4.769920333E0,1.283918917E-1,-9.537030756E-2,5.886601806E-1
4.864900333E0,-2.900544405E-1,1.681572199E-1,-4.056638852E-2
4.959889333E0,4.720110595E-1,1.885385364E-1,1.428146567E-2
5.054857333E0,8.345593214E-1,4.680697918E-1,2.051050812E-1
5.144860333E0,-7.373309135E-1,5.571191311E-1,2.929201350E-2
5.239844333E0,5.730054379E-1,1.954674572E-1,3.102929294E-1
5.334800333E0,4.103057683E-1,8.561741710E-1,3.071942627E-1
5.424816333E0,3.867485374E-2,5.215559602E-1,2.187785059E-1
5.519801333E0,-2.032385394E-2,3.315902948E-1,5.151524544E-1
5.614784333E0,5.799830556E-1,1.966979355E-2,8.650091290E-1
5.709771333E0,1.862364858E-1,3.386505544E-1,4.733655453E-1
5.804757333E0,-1.968182564E0,2.258878201E-1,-2.418603152E-1
5.899716333E0,2.108656168E0,-1.136836410E0,-1.826322973E-1
5.989723333E0,8.427764773E-1,-3.978231251E-1,-2.985228002E-1
6.084712333E0,-8.828614950E-1,-1.784294099E-1,-4.327820614E-3
6.179673333E0,-1.250658274E0,4.363457114E-2,-1.204849258E-1
6.269683333E0,2.103366554E-1,3.610764742E-1,-7.409199327E-2
6.364671333E0,-3.046064079E-1,3.436520100E-1,-1.928185970E-1
6.459652333E0,-6.094247699E-1,-4.914178513E-3,-1.026449054E-1
6.554638333E0,6.944934130E-1,9.140665531E-1,8.905301988E-2
6.649590333E0,8.655640483E-1,-1.335571855E-1,4.005517960E-1
