"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.664257917E-1,-1.783256233E-1,-3.993214369E-1,-1.984332502E-1
2.613937917E-1,-1.322710812E-1,-2.794773281E-1,-1.473276466E-1
3.563747917E-1,-2.478065789E-1,-2.040686458E-1,-1.178410947E-1
4.463827917E-1,-1.613375098E-1,-1.341652423E-1,-5.658950284E-2
5.413657917E-1,1.803936623E-2,-9.834739566E-2,-6.464933604E-2
6.363517917E-1,1.387723237E-1,-2.263044864E-1,-1.268713176E-1
7.313377917E-1,2.731823027E-1,-4.498158395E-1,-3.835753500E-1
8.263217917E-1,-1.936544478E-1,2.521708310E-1,-6.815349460E-1
9.213067917E-1,1.932599097E-1,-2.834542096E-1,-5.778062940E-1
1.016275792E0,-2.015836071E-3,-3.605409265E-1,-4.589327872E-1
1.106278792E0,-1.420578081E-2,-1.880107969E-1,-3.502251506E-1
1.201262792E0,3.670203267E-3,-5.090506002E-2,-2.460169494E-1
1.296248792E0,-1.297326088E-1,-9.404776245E-2,-3.522671759E-2
1.391235792E0,-9.281588346E-2,1.218538880E0,3.380814493E-1
1.486194792E0,-1.477144361E0,6.564372778E-1,3.807294667E-1
1.576204792E0,-2.934999704E0,-1.708989143E-1,-4.743443727E-1
1.671190792E0,8.594501615E-1,-4.383690655E-1,1.409259319E0
1.766175792E0,8.404029012E-1,-1.838507056E0,-7.579186559E-2
1.861144792E0,1.794260621E0,-1.901655793E0,2.901385784E0
1.956132792E0,-2.579995632E0,-1.865331829E-1,-7.341297865E-1
2.051027250E0,5.010741353E-1,-4.089116156E-1,7.199357450E-2
2.146002250E0,2.100180089E-1,6.953951120E-1,4.452418983E-1
2.240968250E0,-2.274179608E-1,8.427821398E-1,1.691011786E-1
2.335964250E0,-1.510481536E-1,6.131867170E-1,2.921722531E-1
2.425970250E0,-2.253208905E-1,-1.465336978E-2,2.322278321E-1
2.520954250E0,-3.399672210E-1,3.143268228E-1,2.149728239E-1
2.615938250E0,-1.889181137E-1,-1.658346131E-2,3.555672988E-2
2.710900250E0,-4.909442663E-1,-9.654837102E-2,7.675013691E-2
2.805910250E0,-4.993924499E-1,1.849752218E-1,-1.961102635E-1
2.900896250E0,-5.531702042E-1,8.336992562E-2,-1.908578575E-1
2.995882250E0,-5.173385143E-1,-4.515072331E-2,-9.200301021E-2
3.090865250E0,-3.164920509E-1,4.245560244E-2,-2.545507252E-1
3.185823250E0,-6.990070641E-2,4.669762254E-1,2.197050862E-2
3.275829250E0,2.067396045E-2,-1.193331182E-2,-8.389982581E-2
