"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.525583333E-2,-7.900570679E-1,8.537346497E0,5.674849091E0
1.364738333E-1,-6.406677246E-1,7.783065033E0,5.865702209E0
2.376588333E-1,-6.228547668E-1,7.802374878E0,5.883814545E0
3.388608333E-1,-5.740562439E-1,7.498955841E0,6.093229065E0
4.400538333E-1,-5.646258545E-1,7.755971375E0,6.035000153E0
5.412448333E-1,-5.525010681E-1,7.678582306E0,6.278244324E0
6.424128333E-1,-5.358856201E-1,7.503446503E0,6.259533234E0
7.436388333E-1,-5.900729370E-1,7.557484131E0,6.194718018E0
8.448318333E-1,-5.559439087E-1,7.439529419E0,6.320755920E0
9.460248333E-1,-6.810836792E-1,7.211852875E0,6.263724518E0
1.047199833E0,-6.433621216E-1,7.510032806E0,6.336024170E0
1.148378833E0,-4.156855774E-1,7.460036774E0,6.497687988E0
1.249571833E0,-5.863307190E-1,7.364834747E0,6.472240906E0
1.350746833E0,-7.738906860E-2,7.705226898E0,6.117927704E0
1.451895833E0,-4.525090027E-1,7.256310425E0,6.237229614E0
1.553107833E0,-1.525328064E-1,7.329208832E0,6.465355225E0
1.654296833E0,3.849993896E-1,7.122788086E0,6.481521606E0
1.755475833E0,1.263971558E0,7.142397308E0,6.742878113E0
1.856649833E0,2.845432892E0,8.232580261E0,6.986421661E0
1.957840833E0,2.006577301E0,6.862928467E0,7.390431519E0
2.059022833E0,1.977088623E0,3.302881622E0,8.555608521E0
2.160071333E0,5.831872559E-1,2.467468872E0,8.856183472E0
2.261245333E0,-1.000669098E0,3.270997925E0,9.329648895E0
2.362425333E0,-1.496438141E0,5.634433136E0,8.324638824E0
2.463593333E0,2.514770508E-1,7.414830780E0,6.940018158E0
2.564773333E0,1.309177551E0,7.969427490E0,6.790778503E0
2.665962333E0,3.762725372E0,7.376959534E0,7.743547211E0
2.767156333E0,5.988896027E0,4.064497833E0,9.965676270E0
2.868346333E0,6.004763031E0,4.435875549E0,7.157216492E0
2.969538333E0,3.110681305E0,6.024372253E0,5.015919342E0
3.070714333E0,1.096769257E0,6.303092651E0,5.388195190E0
3.171920333E0,1.113384705E0,7.076833649E0,5.818250885E0
3.273112333E0,1.252894592E0,7.216044159E0,5.208868103E0
3.374281333E0,2.353855133E0,7.975564728E0,6.166726227E0
3.475497333E0,2.578537903E0,8.183781738E0,6.431076508E0
3.576695333E0,3.983665924E0,7.112609253E0,7.830216980E0
3.677891333E0,3.617078247E0,5.752687225E0,6.879094849E0
3.779068333E0,2.163750458E0,5.138215027E0,7.276368713E0
3.880297333E0,1.356179810E0,6.152805176E0,6.007457428E0
3.981501333E0,2.705024872E0,8.434061279E0,5.060825958E0
4.082687333E0,1.166823578E0,9.685758362E0,6.996899872E0
4.183883333E0,1.043330383E-1,7.565118256E0,6.729705505E0
4.285101333E0,-2.574645996E-2,7.068151703E0,4.626728668E0
4.386302333E0,1.848955078E0,7.804021454E0,4.792284393E0
4.487472333E0,4.463118896E0,4.802463226E0,8.560548248E0
4.588655333E0,2.036515045E0,5.277874603E0,4.124073944E0
4.689876333E0,9.967771912E-1,8.400381317E0,4.361031189E0
4.791068333E0,1.529968414E0,1.014230896E1,5.543572083E0
4.892266333E0,2.238445129E0,8.596623230E0,6.141728210E0
4.993473333E0,2.549198914E0,8.997639313E0,6.473438416E0
5.094674333E0,2.460283813E0,9.273964691E0,5.368585968E0
5.195870333E0,2.196232910E0,7.693401489E0,8.906628571E0
5.297069333E0,2.087109833E0,5.887407074E0,6.953789520E0
5.398239333E0,1.294657745E0,5.807772675E0,4.574038239E0
5.499462333E0,6.569837952E-1,6.564898224E0,5.213957520E0
5.600662333E0,2.635419617E0,7.574548645E0,6.293063507E0
5.701879333E0,5.638175354E0,9.585017853E0,5.321434021E0
