"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.448478125E0,-3.823798370E0,4.871170349E0,9.287286987E0
9.549635125E0,-2.038460999E0,3.096760254E0,1.009800110E1
9.650774125E0,-4.041595459E-3,1.246907043E0,8.378377075E0
9.751925125E0,8.575666809E-1,-1.555565186E0,8.558302917E0
9.853071125E0,4.463717651E-1,-1.812730408E0,9.435029755E0
9.954215125E0,-4.845423889E-1,-9.669891357E-2,1.019724472E1
1.005538113E1,-1.052311707E0,1.794618073E0,1.015293686E1
1.015653212E1,-8.635542297E-1,2.843486938E0,9.333840179E0
1.025771013E1,-6.965016174E-1,3.362008667E0,9.053323517E0
1.035887113E1,-6.502478027E-1,3.062331848E0,9.022188263E0
1.046000913E1,-1.076261902E-1,2.813549194E0,9.151818695E0
1.056119913E1,-9.750723267E-1,3.504961395E0,9.600136414E0
1.066236613E1,-6.036946106E-1,2.994822235E0,9.387428741E0
1.076350313E1,-1.291364594E0,3.552263031E0,8.998387756E0
1.086469313E1,-1.694925385E0,3.537443848E0,8.590785370E0
1.096587012E1,-2.220033417E0,4.303401031E0,9.444759521E0
1.106704313E1,-1.526675262E0,3.371439056E0,1.030277527E1
1.116820512E1,5.830375671E-1,1.813778229E0,1.105481140E1
1.126937113E1,-1.950444031E-1,3.022664337E0,9.440568237E0
1.137052613E1,1.163979492E0,2.800975342E0,9.075327759E0
1.147168713E1,1.307680664E0,3.100352783E0,9.068442078E0
1.157282813E1,1.689237213E0,3.192111969E0,8.941955109E0
1.167396713E1,3.222199402E0,2.513572998E0,1.020847137E1
1.177512613E1,-2.829116821E-1,2.349963226E0,1.062759979E1
1.187628613E1,1.176553345E0,4.305945740E0,1.174921738E1
1.197744112E1,2.602488098E0,4.523293762E0,1.127066254E1
1.207847417E1,-1.886676636E0,4.338877258E0,1.016880386E1
1.217963417E1,-3.658991089E0,3.357667694E0,7.092700653E0
1.228079017E1,-7.965086517E0,3.683689728E0,4.905000000E0
1.238194717E1,-6.988966370E0,3.498075714E0,5.446573792E0
1.248308017E1,-5.884113922E0,2.801723785E0,6.358028412E0
1.258426217E1,-6.302194519E0,2.440075836E0,8.337212677E0
1.268541417E1,-3.733536072E0,4.184847565E0,9.406588898E0
1.278657317E1,-1.932331696E0,1.608105927E0,9.432485046E0
1.288772917E1,5.653742981E-1,-2.150128784E0,8.829838257E0
1.298889617E1,1.502276001E0,-1.069974976E0,9.694889374E0
1.309006117E1,2.023192749E0,2.088157654E-1,1.062580353E1
1.319121617E1,2.762655029E0,2.182910614E0,9.182205505E0
1.329237517E1,7.682025146E-1,5.381608887E0,8.330476685E0
1.339355217E1,1.620979156E0,7.722890167E0,7.586374054E0
1.349469817E1,2.045945435E0,5.988147583E0,7.161258087E0
1.359584917E1,1.014889526E0,4.459226990E0,7.909701691E0
