"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.177558333E-2,-7.152127075E-1,3.889362030E0,9.324110413E0
1.329725833E-1,-9.500743103E-1,3.213218079E0,9.424401855E0
2.342035833E-1,-7.421566772E-1,3.275338898E0,9.260642395E0
3.354045833E-1,-8.690927124E-1,3.198548584E0,9.243128815E0
4.366165833E-1,-8.271798706E-1,3.273991699E0,9.236243134E0
5.378185833E-1,-3.749702454E-1,4.529131622E0,9.625733185E0
6.390185833E-1,-3.592529297E-3,4.215683441E0,9.168134766E0
7.402425833E-1,-6.713539124E-1,4.557722168E0,8.635093231E0
8.414585833E-1,1.182241516E0,5.021607513E0,8.179291077E0
9.426625833E-1,1.022224274E0,4.552033997E0,8.362959137E0
1.043893583E0,1.786534882E0,3.756288757E0,8.861123199E0
1.145083583E0,5.998027039E-1,4.442162476E0,8.245004425E0
1.246300583E0,4.255650330E-1,4.927453308E0,7.641010437E0
1.347480583E0,-2.504292297E-1,4.989424438E0,7.133116608E0
1.448684583E0,1.175804901E0,4.668940887E0,8.942853241E0
1.549915583E0,5.159770203E-1,5.353317719E0,8.441545715E0
1.651146583E0,1.335971832E0,4.843477936E0,9.204658813E0
1.752364583E0,5.185217285E-1,5.173391876E0,7.867339783E0
1.853587583E0,2.432441711E-1,4.601580963E0,8.962163086E0
1.954787583E0,1.041833496E0,4.463118896E0,8.741671600E0
2.056010583E0,7.759863281E-1,5.264552307E0,7.618257751E0
2.157200583E0,2.874023438E-1,5.017266541E0,8.953032074E0
2.258424583E0,5.608836365E-1,4.644391937E0,8.824000397E0
2.359636583E0,8.866062927E-1,4.615202637E0,8.052804108E0
2.460841583E0,1.426683197E0,4.802912292E0,8.323890381E0
2.562055583E0,7.276368713E-1,4.359234924E0,8.162675629E0
2.663312583E0,3.891906738E-3,3.738176422E0,8.984167328E0
2.764534583E0,-1.698218536E0,4.112697601E0,8.505612488E0
2.865755583E0,-5.688171387E-1,3.553161163E0,8.684340820E0
2.966956583E0,2.236349487E-1,1.870809631E0,1.047132477E1
3.068198583E0,-4.743635559E-1,1.939067688E0,9.160650330E0
3.169422583E0,1.503922577E0,1.756148071E0,8.430468750E0
3.270618583E0,-8.818162537E-1,-8.322692871E-2,1.253059250E1
3.371833583E0,8.896000671E-1,2.224973145E0,1.005504044E1
3.473041583E0,1.645528107E0,1.753303986E0,9.478289795E0
3.574257583E0,1.545685730E0,1.258732452E0,8.681496735E0
3.675463583E0,-1.294807434E-1,3.124452667E0,8.419541473E0
3.776527458E0,-1.028062134E0,8.424481201E-1,8.890312500E0
3.877753458E0,-1.816472626E0,-7.993377686E-2,9.535620575E0
3.978950458E0,-4.352947998E-1,2.897973633E-1,1.065663940E1
4.080159458E0,2.510279846E-1,2.117496643E0,1.041219772E1
4.181403458E0,-2.924917603E-1,-2.270777893E-1,9.990823975E0
