"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.100579167E-2,-9.476792908E-1,7.258406067E0,7.182813263E0
1.422467917E-1,-7.679031372E-1,6.671177216E0,7.145989838E0
2.434097917E-1,-7.741900635E-1,6.457870789E0,7.142247620E0
3.446177917E-1,-1.001267853E0,6.168372803E0,7.341034241E0
4.457807917E-1,-7.183561707E-1,6.808591461E0,7.247478790E0
5.469857917E-1,-5.858816528E-1,6.735543365E0,7.090155945E0
6.481497917E-1,-7.279362488E-1,7.101831665E0,7.546257477E0
7.493547917E-1,-6.015989685E-1,7.059469757E0,7.384593658E0
8.505747917E-1,-5.291496277E-1,6.457870789E0,7.448211365E0
9.517777917E-1,-7.521858215E-1,6.219117279E0,7.417225800E0
1.052950792E0,-1.277443542E0,6.764582977E0,6.921606445E0
1.154180792E0,-1.121318207E0,6.546486511E0,7.116201782E0
1.255394792E0,-1.106798401E0,6.895859985E0,7.365583191E0
1.356612792E0,-4.977149963E-1,6.385421448E0,7.482490082E0
1.457827792E0,9.415420532E-2,6.541995850E0,7.320227509E0
1.559022792E0,3.044668579E-1,6.470444641E0,7.081623688E0
1.660243792E0,1.332229614E-2,6.635102234E0,7.090155945E0
1.761446792E0,-2.017803955E-1,6.591243439E0,7.068750458E0
1.862611792E0,-7.758366394E-1,6.906936951E0,7.236102448E0
1.963840792E0,-9.633966064E-1,6.958280182E0,6.866520996E0
2.065041792E0,-1.545685730E0,6.909930725E0,6.961573334E0
2.166240792E0,-1.371448059E0,6.819369049E0,6.736740875E0
2.267419792E0,-1.445094910E0,6.672075348E0,6.826404419E0
2.368656792E0,-1.500180359E0,6.821764069E0,6.904242554E0
2.469855792E0,-1.478625183E0,6.680607605E0,6.870412903E0
2.571053792E0,-1.671573944E0,6.326593781E0,6.601721649E0
2.672243792E0,-1.512754211E0,6.463259583E0,7.868088226E0
2.773440792E0,-1.626966705E0,5.528752899E0,7.912246399E0
2.874667792E0,-1.575473785E0,5.571264496E0,8.156089325E0
2.975746625E0,-1.447938995E0,5.549559631E0,7.856412506E0
3.076973625E0,-1.379381561E0,5.666017456E0,7.869734802E0
3.178190625E0,-1.424138489E0,5.703589325E0,7.776179352E0
3.279335625E0,-1.482666779E0,5.823040924E0,7.866142273E0
3.380531625E0,-1.309776306E0,5.817352753E0,7.890242157E0
3.481753625E0,-1.408870239E0,5.776338043E0,7.957602081E0
3.582968625E0,-1.392254791E0,5.840105438E0,7.954308929E0
3.684160625E0,-1.302890625E0,5.834417267E0,7.864795074E0
3.785379625E0,-8.690927124E-1,5.291346588E0,7.481442261E0
3.886584625E0,-8.903485107E-1,5.090614014E0,7.995772705E0
3.987769625E0,2.643502808E-1,5.077142029E0,8.342451782E0
4.088985625E0,5.554948425E-1,5.378465424E0,8.429720306E0
4.190176625E0,-1.272354126E-1,5.391787720E0,6.975344696E0
4.291378625E0,1.100810852E0,5.305117950E0,7.592511292E0
4.392570625E0,9.318122864E-1,5.521717529E0,7.670349426E0
4.493769625E0,1.177750854E0,5.591173096E0,8.085885315E0
4.594967625E0,1.732347565E0,6.527026978E0,7.174730072E0
4.696178625E0,1.269659729E0,6.181545410E0,7.275919647E0
4.797361625E0,1.099014587E0,6.329886932E0,7.762707367E0
4.898555625E0,5.345384216E-1,6.007756805E0,7.490722961E0
4.999772625E0,7.159611511E-1,6.236032104E0,7.648195496E0
5.100986625E0,5.513035583E-1,6.029461670E0,7.717351685E0
5.202186625E0,3.517684937E-1,6.268364868E0,7.548203430E0
5.303373625E0,3.427871704E-2,6.172264709E0,7.600594482E0
5.404597625E0,5.168751526E-1,6.451134796E0,7.452103271E0
5.505791625E0,-1.309776306E-1,6.289620667E0,7.348368988E0
5.606991625E0,-2.887495422E-1,6.407725067E0,7.397616577E0
5.708156625E0,-2.653981018E-1,6.284381561E0,7.317682800E0
5.809368625E0,-2.740800476E-1,6.365063782E0,7.696544952E0
5.910578625E0,3.993695068E-1,6.260131989E0,7.389832764E0
6.011771625E0,-4.351451111E-1,6.125262451E0,7.735464020E0
6.112955625E0,-5.794450378E-1,6.164331207E0,7.573201447E0
6.214157625E0,-5.342390442E-1,6.419251099E0,7.161258087E0
6.315336625E0,5.463638306E-2,6.366860046E0,7.598049774E0
6.416558625E0,4.225712585E-1,6.268065491E0,7.286248169E0
6.517737625E0,8.210426331E-1,6.478228455E0,7.164401550E0
6.618920625E0,1.712738342E0,6.328240356E0,7.482639771E0
6.720131625E0,2.023941193E0,6.178551636E0,7.530240784E0
6.821313625E0,1.750759277E0,5.651347961E0,7.681127014E0
6.922543625E0,1.646276550E0,5.741909637E0,7.783813477E0
7.023733625E0,1.664987640E0,5.555996246E0,8.157137146E0
7.124928625E0,2.016905823E0,5.352120209E0,7.843688965E0
7.226155625E0,2.420915680E0,5.499114532E0,8.611891479E0
7.327361625E0,1.583556976E0,4.512815552E0,8.014184418E0
7.428552625E0,1.559307404E0,5.578599243E0,7.942633209E0
7.529771625E0,9.809101868E-1,5.790558472E0,7.737859039E0
7.630971625E0,1.264270935E0,6.197113037E0,7.175328827E0
7.732189625E0,1.491049347E0,6.337521057E0,7.220834198E0
