"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.357904167E-2,-1.734892273E-1,4.356540527E0,9.053772583E0
1.447540417E-1,4.352947998E-1,4.063300323E0,8.841663666E0
2.459230417E-1,2.423460388E-1,4.070186005E0,8.876092072E0
3.470900417E-1,2.327659607E-1,3.818858643E0,8.894354095E0
4.482560417E-1,-2.080673218E-2,4.158202972E0,9.250762939E0
5.494590417E-1,6.167175293E-2,4.218078461E0,9.123527527E0
6.506370417E-1,4.079017639E-1,4.466262360E0,9.110354919E0
7.518100417E-1,1.358125763E0,4.999603271E0,9.081914062E0
8.530040417E-1,1.890418854E0,4.784500580E0,8.896449738E0
9.541750417E-1,-5.146298218E-1,3.091371460E0,8.971593475E0
1.055362042E0,-2.084116058E0,4.142485657E0,7.872129822E0
1.156547042E0,-1.583107910E0,4.822820892E0,7.885152740E0
1.257727042E0,-8.454418945E-1,5.345833282E0,7.461982727E0
1.358906042E0,-1.087189178E0,5.553002472E0,7.967631226E0
1.460082042E0,-9.960287476E-1,6.079607391E0,7.730374603E0
1.561232042E0,-1.129102020E0,6.076912994E0,7.708220673E0
1.662444042E0,-7.509883118E-1,5.918392639E0,7.723638611E0
1.763615042E0,-6.828799438E-1,5.785618744E0,7.351811829E0
1.864809042E0,-5.445675659E-1,5.751639404E0,7.846682739E0
1.965956042E0,-3.839515686E-1,5.853577423E0,8.091723175E0
2.067149042E0,-7.454498291E-1,5.445376282E0,8.692723389E0
2.168335042E0,-1.386566620E0,5.037923584E0,8.098608856E0
2.269504042E0,-1.734892273E0,4.242028656E0,7.053182831E0
2.370680042E0,-1.771715698E0,2.603386230E0,6.694828033E0
2.471892042E0,4.293072510E-1,1.506616974E0,8.998986511E0
2.573073042E0,1.616638184E0,2.024240570E0,1.053584061E1
2.674277042E0,5.946234741E0,2.956950989E0,8.416547699E0
2.775455042E0,3.354374542E0,3.003504181E0,8.455616455E0
2.876640042E0,3.436254272E0,2.849773865E0,9.510772247E0
2.977861042E0,2.733465729E0,2.439776459E0,8.444689178E0
3.079036042E0,2.325264587E0,2.660118256E0,9.507030029E0
3.180189042E0,2.198328552E0,1.871258698E0,9.770931244E0
3.281386042E0,1.970502319E0,1.626218262E0,8.793613586E0
3.382554042E0,7.872129822E-1,1.504221954E0,1.067999084E1
3.483731042E0,4.309538269E-1,4.206253052E-1,1.110390930E1
3.584881042E0,1.147064667E0,4.296066284E-1,1.059017761E1
3.686071042E0,5.185217285E-1,1.833537140E0,1.044468018E1
3.787271042E0,-4.520599365E-2,1.698667603E0,1.042641815E1
3.888437042E0,2.351609802E-1,7.439529419E-1,9.054071960E0
3.989459792E0,-3.637435913E-2,7.229965210E-1,8.990154877E0
4.090631792E0,4.867877197E-1,9.337582397E-1,8.660240936E0
4.191789792E0,9.472302246E-1,1.346000977E0,9.168583832E0
4.292948792E0,7.472460938E-1,1.034199371E0,9.905052338E0
4.394082792E0,8.969348145E-1,8.830137634E-1,9.689350891E0
